transaction_id,customer_id,product_id,transaction_date,transaction_amount,quantity,payment_method,status,region,sales_rep_id
TXN_00129,CUST_0771,PROD_0067,2024.12.06,55.98,1,Crypto,Completed,North,REP_063
TXN_00130,CUST_0633,PROD_0754,06/17/2024,452.49,1,PayPal,Completed,North,REP_099
TXN_00131,CUST_0077,PROD_0299,27-Dec-2025,776.60,10,Credit Card,Pending,West,REP_091
TXN_00132,CUST_0095,PROD_0463,2023.05.22,135.30,4,PayPal,Completed,north,REP_035
TXN_00133,CUST_0269,PROD_0725,05-Nov-2023,129.78,1,Bank Transfer,Completed,East,REP_058
TXN_00134,CUST_0361,PROD_0101,02/02/2023,151.86,3,Bank Transfer,Completed,NORTH,REP_189
TXN_00135,CUST_0530,PROD_0056,2023.03.04,871.89,1,Credit Card,Completed,NORTH,REP_036
TXN_00136,CUST_1829,PROD_0332,03/24/2023,386.35,1,PayPal,Completed,East,REP_102
TXN_00137,CUST_0683,PROD_0751,2024-12-11,,1,Credit Card,Completed,north,REP_092
TXN_00138,CUST_0162,PROD_0393,14-Aug-2025,$535.52,1,Credit Card,Complted,West,REP_056
TXN_00139,CUST_0465,PROD_0743,2025-09-24,147.34,1,Crypto,Completed,west,REP_067
TXN_00140,CUST_0823,PROD_0381,04/16/2025,"$2,316.26",4,Bank Transfer,Completed,East,REP_057
TXN_00141,CUST_1588,PROD_0092,2024-03-13,529.25,1,Credit Card,Pending,West,REP_169
TXN_00142,BAD_CUST_31,PROD_0791,02-Oct-2023,$71.90,2,Bank Transfer,Completed,WEST,REP_031
TXN_00143,CUST_1974,BAD_PROD_166,2024.07.06,"1,119.70",1,Crypto,Pending,West,REP_131
TXN_00144,CUST_1211,PROD_0109,2024.07.26,$532.97,1,PayPal,Completed,West,REP_166
TXN_00145,BAD_CUST_204,PROD_0317,2024-08-05,"2,977.90",5,Credit Card,Completed,west,REP_181
TXN_00146,CUST_1784,PROD_0168,07/22/2025,716.44,2,Bank Transfer,Completed,North,REP_052
TXN_00147,CUST_0052,PROD_0435,12/06/2025,7453.97,10,Credit Card,Completed,East,REP_152
TXN_00148,CUST_0488,PROD_0442,2023-11-14,1410.66,10,PayPal,Completed,South,REP_154
TXN_00149,CUST_1555,PROD_0218,10/02/2024,874.08,1,Credit Card,Pending,East,REP_105
TXN_00150,CUST_1420,PROD_0222,2023-09-20,18.63,1,Credit Card,Refunded,,REP_111
TXN_00151,CUST_0092,PROD_0673,24-Apr-2024,"$5,271.31",5,Bank Transfer,Completed,East,REP_092
TXN_00152,CUST_0651,PROD_0528,21-Oct-2023,"$4,254.30",10,PayPal,Pending,NORTH,REP_037
TXN_00153,BAD_CUST_292,PROD_0278,12/12/2024,1864.1,-5,Crypto,Completed,,REP_117
TXN_00154,CUST_0357,PROD_0569,25-Nov-2023,1656.32,3,PayPal,Cancelled,East,REP_176
TXN_00155,CUST_1756,PROD_0574,04/07/2025,1248.04,3,PayPal,Complted,North,REP_067
TXN_00156,CUST_1635,PROD_0466,28-Dec-2025,410.74,1,Crypto,Pending,West,REP_169
TXN_00157,CUST_1772,PROD_0754,2025-05-17,$904.99,2,Credit Card,Completed,South,REP_049
TXN_00158,CUST_0719,BAD_PROD_175,2025-12-20,"1,202.04",4,Bank Transfer,Pending,West,REP_028
TXN_00159,CUST_1168,PROD_0584,2023-07-25,"$1,155.59",2,Credit Card,Completed,East,REP_032
TXN_00160,CUST_0199,PROD_0030,2023-08-24,567.1,1,Credit Card,Completed,West,REP_099
TXN_00161,CUST_0815,PROD_0359,09/25/2024,161.06,1,Crypto,Completed,North,REP_199
TXN_00162,CUST_1347,PROD_0288,01-Jun-2024,$552.87,1,Crypto,Pending,South,REP_071
TXN_00163,CUST_1823,BAD_PROD_178,16-Feb-2025,955.48,1,Credit Card,Completed,West,REP_032
TXN_00164,CUST_1356,PROD_0234,2024-08-20,"2,058.61",10,PayPal,Completed,East,REP_166
TXN_00165,CUST_1288,PROD_0747,15-Apr-2024,505.41,1,Bank Transfer,Completed,south,REP_148
TXN_00166,CUST_0217,PROD_0313,10/27/2025,1051.69,1,PayPal,Pending,East,REP_136
TXN_00167,CUST_1725,PROD_0365,13-Nov-2025,576.86,1,Credit Card,Completed,West,REP_068
TXN_00168,CUST_0556,BAD_PROD_184,2025-10-02,"$1,678.44",2,Credit Card,Complted,West,REP_154
TXN_00169,CUST_1458,PROD_0799,10/13/2024,276.04,2,Bank Transfer,Cancelled,East,REP_070
TXN_00170,CUST_0803,PROD_0269,26-Oct-2023,144.25,1,PayPal,Completed,South,REP_048
TXN_00171,CUST_1484,PROD_0698,2025.09.14,272.59,1,Credit Card,Completed,South,REP_096
TXN_00172,CUST_0701,PROD_0131,2025-12-26,999999.99,1,Credit Card,Completed,South,REP_197
TXN_00173,CUST_0503,PROD_0789,12/02/2025,"2,271.77",2,Crypto,Pending,West,REP_108
TXN_00174,CUST_0469,PROD_0351,04/18/2025,999999.99,1,Bank Transfer,Completed,West,REP_046
TXN_00175,CUST_1975,PROD_0180,02/28/2024,"$10,914.92",10,Crypto,Completed,,REP_186
TXN_00176,CUST_1730,PROD_0480,2024.12.24,$654.43,1,Crypto,Pending,East,REP_198
TXN_00177,CUST_1806,PROD_0163,2025.12.07,,1,Crypto,Completed,North,REP_067
TXN_00178,CUST_0366,PROD_0783,2024.10.11,1583.68,3,Credit Card,Pending,north,REP_029
TXN_00179,CUST_1796,PROD_0096,2024.01.04,$637.96,1,PayPal,Completed,North,REP_083
TXN_00180,CUST_1937,PROD_0774,2025.12.09,"$1,322.58",2,Crypto,Completed,East,REP_138
TXN_00181,CUST_1263,PROD_0510,2024-12-09,$192.30,1,PayPal,Completed,South,REP_071
TXN_00182,CUST_0624,PROD_0365,2024.04.24,"$1,153.72",2,Credit Card,Completed,North,REP_193
TXN_00183,CUST_1605,PROD_0353,11/10/2023,"1,351.64",3,Crypto,Completed,East,REP_065
TXN_00184,CUST_0920,PROD_0800,21-Sep-2025,5840.55,10,Credit Card,Completed,West,REP_145
TXN_00185,CUST_0561,PROD_0436,2023-10-28,$295.06,1,Crypto,Cancelled,South,REP_022
TXN_00186,CUST_0823,PROD_0083,02/25/2023,512.78,1,Crypto,Completed,North,REP_100
TXN_00187,CUST_0967,PROD_0225,04-Mar-2024,-150.00,1,Credit Card,Pnding,West,REP_014
TXN_00188,CUST_0663,PROD_0412,2024-02-17,"6,471.08",10,Bank Transfer,Completed,SOUTH,REP_006
TXN_00189,CUST_0751,PROD_0735,08/17/2025,8963.85,10,Bank Transfer,Completed,,REP_158
TXN_00190,CUST_1873,PROD_0118,2025.12.09,176.94,1,PayPal,Pending,,REP_047
TXN_00191,CUST_1420,PROD_0482,02/12/2024,446.62,1,PayPal,Completed,North,REP_148
TXN_00192,CUST_1419,PROD_0192,2023.12.09,59.46,1,Credit Card,Pending,North,REP_144
TXN_00193,CUST_1651,PROD_0591,03-Feb-2025,297.3,1,Credit Card,Completed,West,REP_196
TXN_00194,CUST_1099,PROD_0590,17-Oct-2024,,1,Credit Card,Completed,West,REP_034
TXN_00195,CUST_1122,PROD_0659,1800-01-01,717.17,1,Bank Transfer,Completed,West,REP_001
TXN_00196,CUST_0383,PROD_0107,2025-06-01,98.74,2,Bank Transfer,Completed,,REP_176
TXN_00197,CUST_1647,PROD_0382,2024-11-04,612.97,10,Crypto,Completed,SOUTH,REP_008
TXN_00198,CUST_1893,PROD_0783,04/06/2024,5278.94,10,Crypto,Completed,NORTH,REP_022
TXN_00199,CUST_1394,PROD_0390,2025.11.25,$79.23,1,Credit Card,Completed,North,REP_068
TXN_00200,CUST_1309,PROD_0244,02/24/2025,1501.58,2,Credit Card,Completed,West,REP_034
TXN_00201,CUST_1280,PROD_0585,11/18/2025,976.57,5,PayPal,Pending,,REP_188
TXN_00202,CUST_1854,PROD_0468,06/21/2024,586.26,1,Bank Transfer,Pending,,REP_173
TXN_00203,CUST_0309,PROD_0538,2023.10.15,1142.23,2,Credit Card,Completed,South,REP_037
TXN_00204,CUST_1653,PROD_0210,2025-11-01,144.46,1,Bank Transfer,Completed,West,REP_121
TXN_00205,CUST_0176,PROD_0604,06/14/2024,999999.99,1,Credit Card,Completed,,REP_023
TXN_00206,CUST_0228,PROD_0637,2023.06.28,355.84,1,Crypto,Completed,South,REP_084
TXN_00207,CUST_0347,PROD_0073,2023.02.20,604.96,1,Credit Card,Completed,north,REP_117
TXN_00208,CUST_1642,PROD_0635,03/16/2023,1035.37,2,Crypto,Refunded,North,REP_024
TXN_00209,CUST_1366,PROD_0309,06/04/2025,352.17,1,PayPal,Completed,East,REP_141
TXN_00210,CUST_1920,PROD_0696,2023-06-08,673.55,1,PayPal,Completed,South,REP_069
TXN_00211,CUST_1986,PROD_0699,2024.11.02,308.47,1,PayPal,Pending,North,REP_080
TXN_00212,CUST_1263,PROD_0710,2023-05-22,2790.27,5,Credit Card,Completed,North,REP_060
TXN_00213,CUST_1636,PROD_0590,27-May-2023,397.59,1,PayPal,Pending,South,REP_038
TXN_00214,BAD_CUST_7,PROD_0186,11-Nov-2023,1857.81,2,Credit Card,Completed,North,REP_176
TXN_00215,CUST_1712,PROD_0253,2023-09-12,"$1,284.95",2,Bank Transfer,Complted,South,REP_154
TXN_00216,CUST_0350,PROD_0013,10-Dec-2024,$633.58,1,Crypto,Pending,North,REP_077
TXN_00217,CUST_1979,PROD_0299,2023-05-11,$77.66,1,Bank Transfer,Completed,West,REP_085
TXN_00218,CUST_0455,PROD_0076,10/17/2023,897.04,-5,Credit Card,Completed,South,REP_129
TXN_00219,CUST_0441,PROD_0051,06/04/2023,180.97,1,PayPal,Completed,SOUTH,REP_004
TXN_00220,CUST_0761,PROD_0787,2024-11-11,538.55,1,Crypto,Pending,North,REP_195
TXN_00221,CUST_1612,PROD_0149,2023-04-19,96.48,3,PayPal,Completed,South,REP_114
TXN_00222,CUST_0515,PROD_0731,2023.01.09,385.81,1,Bank Transfer,Completed,East,REP_080
TXN_00223,CUST_1105,PROD_0122,2025.12.28,162.67,1,Credit Card,Completed,East,REP_109
TXN_00224,CUST_1385,PROD_0211,2025-12-19,114.2,1,Crypto,Completed,South,REP_141
TXN_00225,CUST_0288,PROD_0280,18-May-2025,$459.87,1,Crypto,Completed,East,REP_167
TXN_00226,CUST_0008,PROD_0538,2023.07.25,1713.34,3,Credit Card,Completed,North,REP_031
TXN_00227,CUST_0087,PROD_0685,2024.07.03,735.92,2,Credit Card,Completed,North,REP_152
TXN_00228,CUST_0998,PROD_0156,2024.01.05,240.66,2,Crypto,Completed,South,REP_128
TXN_00229,CUST_0286,PROD_0238,2025.10.04,"3,413.87",3,Bank Transfer,Pending,North,REP_079
TXN_00230,CUST_1423,PROD_0376,2023.08.26,965.44,1,Bank Transfer,Completed,North,REP_005
TXN_00231,CUST_0074,BAD_PROD_37,2025-10-09,584.03,1,PayPal,Completed,East,REP_127
TXN_00232,CUST_1463,BAD_PROD_209,10/03/2025,375.92,1,Crypto,Completed,North,REP_177
TXN_00233,CUST_1147,PROD_0356,12/19/2023,708.42,1,Credit Card,Completed,North,REP_086
TXN_00234,CUST_1401,PROD_0273,2023-01-16,5529.95,10,Credit Card,Cancelled,East,REP_086
TXN_00235,CUST_0806,PROD_0580,2099-12-31,763.93,4,Credit Card,Completed,West,REP_139
TXN_00236,CUST_1167,PROD_0044,2025-09-08,750.27,1,Credit Card,Completed,South,REP_024
TXN_00237,CUST_0158,PROD_0573,09/09/2023,$352.19,1,Crypto,Completed,,REP_045
TXN_00238,CUST_0430,PROD_0123,2025.04.16,"$1,044.09",1,Bank Transfer,Pending,West,REP_111
TXN_00239,CUST_1472,PROD_0349,07-Jul-2023,,1,PayPal,Completed,East,REP_034
TXN_00240,BAD_CUST_240,PROD_0708,2024.04.27,$221.64,1,Bank Transfer,Completed,East,REP_139
TXN_00241,CUST_1395,PROD_0330,13-Mar-2024,595.73,2,PayPal,Completed,,REP_185
TXN_00242,CUST_1133,PROD_0409,2024-05-09,3489.5,5,Credit Card,Pending,North,REP_157
TXN_00243,CUST_0846,PROD_0323,14-Dec-2023,98.6,3,Credit Card,Completed,South,REP_150
TXN_00244,CUST_1731,PROD_0111,11/01/2025,610.06,1,Crypto,Cancelled,South,REP_161
TXN_00245,CUST_0036,PROD_0770,04/24/2024,62.29,1,Credit Card,Completed,East,REP_200
TXN_00246,CUST_1114,PROD_0089,2023-12-06,$592.81,2,Crypto,Completed,North,REP_122
TXN_00247,CUST_1021,PROD_0433,02/22/2025,1022.81,4,Crypto,Pending,East,REP_177
TXN_00248,CUST_0974,PROD_0710,2025.10.08,"2,232.22",4,Crypto,Completed,West,REP_109
TXN_00249,CUST_1439,PROD_0794,2025-01-24,742.72,10,Credit Card,Completed,SOUTH,REP_023
TXN_00250,CUST_1998,PROD_0712,2024.10.07,$938.34,2,Credit Card,Refunded,,BAD_REP_44
TXN_00251,CUST_1018,PROD_0099,2023.12.01,53.47,2,Bank Transfer,Completed,East,REP_029
TXN_00252,CUST_1320,PROD_0539,2025.02.27,150.59,1,PayPal,Completed,North,REP_006
TXN_00253,CUST_1866,PROD_0601,2024.02.11,$52.89,2,Bank Transfer,Completed,NORTH,REP_052
TXN_00254,CUST_0713,PROD_0146,2023-10-24,523.39,1,Credit Card,Completed,West,REP_089
TXN_00255,CUST_1070,PROD_0694,06/11/2023,220.02,1,PayPal,Pending,West,REP_089
TXN_00256,CUST_0488,PROD_0257,22-Sep-2024,"$1,489.71",2,Crypto,Completed,,REP_122
TXN_00257,CUST_0619,PROD_0189,2025.10.28,$160.02,1,PayPal,Complted,East,REP_142
TXN_00258,CUST_0170,PROD_0240,07/12/2023,725.57,1,Crypto,Completed,South,REP_017
TXN_00259,CUST_0146,PROD_0503,2025.12.08,480.51,1,Credit Card,Completed,East,REP_028
TXN_00260,CUST_0868,PROD_0708,02-Jul-2024,221.64,1,PayPal,Cancelled,East,REP_009
TXN_00261,CUST_0420,PROD_0677,06-Nov-2024,12.24,1,Crypto,Pending,,REP_115
TXN_00262,CUST_1996,PROD_0271,2023.12.15,713.22,1,Bank Transfer,Completed,,REP_124
TXN_00263,CUST_1714,PROD_0520,2023-07-04,120.49,1,Bank Transfer,Completed,South,REP_194
TXN_00264,CUST_0573,PROD_0550,05/09/2023,548.26,1,Crypto,Cancelled,west,REP_004
